Comment,Val,Package,Mid,X,Mid,Y,Rotation,Layer
R31,DNP,R_0402_1005Metric,165.6500,-60.8750,-90.0000,top
Reset1,Reset,SW_Push_1P1T_XKB_TS-1187A,149.8100,-86.0950,-90.0000,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,160.4500,-60.9650,-90.0000,top
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,164.8300,-70.2950,180.0000,top
U3,MCP73831-2-OT,SOT-23-5,150.8325,-104.5750,-90.0000,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,150.5900,-74.1550,180.0000,top
U5,MPU-6050,QFN50P400X400X95-24N,164.5920,-94.4880,0.0000,top
Y1,32.768_kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,151.7700,-62.3900,-90.0000,top
Y2,40MHz(10ppm),Crystal_SMD_2520-4Pin_2.5x2.0mm,169.0800,-60.4100,-90.0000,top
Flash2,Flash,SW_Push_1P1T_XKB_TS-1187A,160.0200,-76.2000,180.0000,bottom
Flash3,Flash,SW_Push_1P1T_XKB_TS-1187A,167.1800,-81.9450,180.0000,bottom
Flash4,Flash,SW_Push_1P1T_XKB_TS-1187A,152.4000,-81.2800,180.0000,bottom
Flash5,Flash,SW_Push_1P1T_XKB_TS-1187A,159.5600,-87.0250,180.0000,bottom
U6,COM-09032,XDCR_COM-09032,157.4800,-38.1000,180.0000,bottom
